test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,LeerAgregarModificar,00:00:15,global information,225,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,15,188.31,554.24,2894.06,223.49,268.54,2142.21,2418.69,687.51,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,LeerAgregarModificar,00:00:15,Leer_Stock,225,225,0,15,79.88,86.88,137.99,85.38,88.51,96.7,126.34,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,LeerAgregarModificar,00:00:15,Agregar_Producto,225,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,15,93.13,122.4,373.74,111.3,126.02,184.06,272.64,39.02,0,0,0,0
