test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,Compras_Leer,00:00:20,global information,4750,4750,0,237.5,83.32,1323.73,369078.98,157.06,260.74,2332.67,5042.18,16855.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,Compras_Agregar,00:00:20,global information,4750,4750,0,237.5,328.63,5162.43,368822.05,5689.34,7114.75,8536.06,9158.66,7678.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,Compras_Modificar,00:00:20,global information,4750,4750,0,237.5,78.15,700.04,365315.41,87.36,94.02,605.7,2020.35,11856.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
