test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,Inventario_Leer,00:00:20,global information,190,190,0,9.5,92.18,219.19,3278.14,104.64,125.25,971.78,1577.98,362.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,Inventario_Agregar,00:00:20,global information,190,190,0,9.5,81.81,191.04,3237.17,90.62,101.25,695.3,1198.08,372.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,Inventario_Modificar,00:00:20,global information,190,190,0,9.5,81.58,194.43,4614.03,90.62,103.36,676.86,1445.89,403.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
