test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,Inventario_Agregar,00:02:00,global information,4227,3264,963,27.2,81.41,35653.27,112154.67,772.61,97517.57,109641.73,111149.06,47283.05,0,0,0,0,8.02,0,0.03,5.57,0.01,0.01,0.05,0.36,0.24,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,Inventario_Leer,00:02:00,global information,4071,3133,938,26.11,198.33,35896.19,132684.38,4280.32,105840.64,112197.63,115605.5,47402.57,0,0,0,0,7.82,0,0.02,1.99,0.01,0.01,0.03,0.22,0.09,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,Inventario_Modificar,00:02:00,global information,4251,3320,931,27.67,85.2,35777.33,112277.81,815.62,97648.64,109707.26,111214.59,47358.66,0,0,0,0,7.76,0,0.02,4.88,0.01,0.01,0.06,0.34,0.17,0,0,0,0
