test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,Compras_Agregar,00:01:40,global information,15416,15122,294,151.22,12.61,648.53,217112.6,334.08,556.03,1175.55,2010.11,5811.72,0,0,0,0,2.94,0,620.79,182508.1,0,0.01,0.01,0.18,11932.56,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,Compras_Leer,00:01:40,global information,2605,2311,294,23.11,64.5,3672.31,253767.51,667.65,1121.28,17661.95,66060.29,16724.54,0,0,0,0,2.94,0,393.26,90040.73,0,0,0.01,35.55,5983.91,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,Compras_Modificar,00:01:40,global information,7690,7405,285,74.05,12.79,1299.36,251435.54,333.82,678.4,1335.3,4968.45,13259.66,0,0,0,0,2.85,0,529.71,30215.97,0,0,0.03,30212.1,4394.67,0,0,0,0
