test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,Compras_Leer,00:00:20,global information,480,480,0,24,69.99,832.44,3047.39,544.26,1329.15,2209.79,2928.64,708.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,Compras_Agregar,00:00:20,global information,480,480,0,24,274.01,821.42,3492.78,612.86,1022.98,2127.87,2965.5,593.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,Compras_Modificar,00:00:20,global information,480,480,0,24,68.1,193.11,2376.63,77.5,127.62,598.02,2115.58,371.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
