test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,Inventario_Agregar,00:03:00,global information,1550,51,1499,0.28,64.55,111526.53,143164.95,142213.12,142606.34,143130.62,143261.7,58405.98,0,0,0,0,8.33,83.38,1048.31,24115.04,357.89,777.73,1630.21,20561.92,3079.75,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,Inventario_Leer,00:03:00,global information,1539,1539,0,8.55,86.86,4722.27,143076.62,565.76,1174.53,2879.49,142213.12,22501.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,Inventario_Modificar,00:03:00,global information,1698,199,1499,1.11,44.52,21493.28,107550.3,151.68,258.82,107282.43,107479.04,42552.43,0,0,0,0,8.33,121.89,1983.1,25180.76,1260.54,1388.54,6275.07,23150.59,3770.04,0,0,0,0
